,CPI,M2,CPI_Growth,M2_Growth
2000-06-30,171.4333333333333,4765.7,0.7807964710944582,1.6708608464515606
2000-09-30,173.0,4822.033333333334,0.9097130385018914,1.1751261667221513
2000-12-31,174.23333333333335,4893.966666666666,0.7103802552987482,1.4807461440078384
2001-03-31,175.9,5023.466666666666,0.9520254692745311,2.6117112482184623
2001-06-30,177.13333333333333,5152.266666666666,0.6987092914091164,2.5316480878620595
2001-09-30,177.63333333333333,5269.8,0.2818755977023635,2.2555663872063647
2001-12-31,177.5,5390.8,-0.07508917191563214,2.2701385743877367
2002-03-31,178.0666666666667,5484.566666666667,0.318740309228005,1.7244290350948432
2002-06-30,179.46666666666667,5528.099999999999,0.7831477654657526,0.7906088762972274
2002-09-30,180.4333333333333,5632.366666666666,0.5371875472413912,1.8685544876435145
2002-12-31,181.5,5748.3,0.5894288570083006,2.037443801840233
2003-03-31,183.36666666666667,5843.099999999999,1.0232137508397798,1.6357319000201542
2003-06-30,183.0666666666667,5957.866666666666,-0.16374059875960967,1.9450997244510049
2003-09-30,184.4333333333333,6078.866666666666,0.7437676010247252,2.0105799927673473
2003-12-31,185.13333333333333,6073.3,0.3788224968635845,-0.0916160419574652
2004-03-31,186.70000000000002,6120.7,0.8426764343087534,0.7774354393976779
2004-06-30,188.16666666666666,6251.033333333333,0.7825044373929835,2.1070314347181096
2004-09-30,189.36666666666667,6320.5,0.635707597336399,1.1051535537880852
2004-12-31,191.4,6403.7,1.0680308123882654,1.307762936227519
2005-03-31,192.36666666666667,6439.5,0.5037794029957077,0.5574949034837573
2005-06-30,193.66666666666666,6484.333333333333,0.6735195134990768,0.6938113796982393
2005-09-30,196.6,6576.833333333333,1.5032739529264205,1.4164362016339638
2005-12-31,198.4333333333333,6664.3,0.9281983778168801,1.3211548694554764
2006-03-31,199.46666666666667,6751.566666666667,0.5193946500923197,1.3009654860654862
2006-06-30,201.26666666666665,6824.333333333333,0.8983590612470671,1.0720079483212075
2006-09-30,203.16666666666666,6923.933333333333,0.9395931648588096,1.4489352719428084
2006-12-31,202.33333333333334,7039.966666666667,-0.4110157861828334,1.6619426388498226
2007-03-31,204.317,7140.533333333333,0.9756206934616429,1.4184034796873135
2007-06-30,206.631,7261.333333333333,1.1261884506108544,1.677599659621798
2007-09-30,207.939,7375.8,0.6310173626604687,1.5640904215864282
2007-12-31,210.4896666666667,7455.466666666667,1.219179498927403,1.0743173147405471
2008-03-31,212.76966666666667,7597.433333333333,1.0773640999506284,1.8862926887416975
2008-06-30,215.5376666666667,7727.5,1.2925478139099944,1.6974924070099817
2008-09-30,218.861,7823.433333333333,1.5301143524211192,1.2338108364239986
2008-12-31,213.84866666666667,8069.2,-2.3168225357180994,3.093084138968294
2009-03-31,212.37766666666667,8331.9,-0.6902463434634853,3.203717662833583
2009-06-30,213.50699999999998,8433.466666666667,0.5303482697453177,1.2116395810670255
2009-09-30,215.34399999999997,8462.966666666665,0.8567130474912865,0.3491864749531004
2009-12-31,217.03,8505.966666666667,0.7798843341534578,0.5068096054754889
2010-03-31,217.37400000000002,8509.766666666668,0.1583779485945236,0.0446645464961648
2010-06-30,217.29733333333334,8597.6,-0.035275695258629725,1.0268571058494658
2010-09-30,217.93433333333334,8682.300000000001,0.29271788044127334,0.9803375985784513
2010-12-31,219.69899999999998,8793.633333333333,0.8064633548182876,1.2741504263622971
2011-03-31,222.04366666666667,8907.066666666668,1.0615631507868706,1.281699437732975
2011-06-30,224.56833333333336,9103.266666666668,1.1305981745300286,2.178835429435466
2011-09-30,226.03266666666664,9469.699999999999,0.6499490627828841,3.9463904244026793
2011-12-31,227.04733333333334,9628.433333333332,0.44789810318626166,1.6623298814762322
2012-03-31,228.32600000000002,9799.633333333333,0.5615919658330526,1.7624443485894759
2012-06-30,228.808,9951.933333333332,0.21087916393058848,1.5421867142796586
2012-09-30,229.841,10139.566666666668,0.45045415849909176,1.8678425053755277
2012-12-31,231.36933333333332,10369.666666666666,0.6627513813426411,2.2439615512530153
2013-03-31,232.29933333333335,10529.033333333333,0.4011490592279898,1.5251643009319693
2013-06-30,232.045,10642.466666666667,-0.1095451545370274,1.0715765890125795
2013-09-30,233.29999999999998,10790.366666666667,0.5393860652711524,1.380147415573063
2013-12-31,234.1626666666667,11001.633333333333,0.369085151597659,1.9389985849231905
2014-03-31,235.621,11173.300000000001,0.620855138749743,1.5483257023694463
2014-06-30,236.87233333333333,11325.4,0.5296736146774172,1.3520987185891897
2014-09-30,237.47833333333332,11468.199999999999,0.25550731653547487,1.2529996867970183
2014-12-31,236.88833333333332,11632.533333333333,-0.24875285119811963,1.4227782565713554
2015-03-31,235.35500000000002,11866.033333333333,-0.6493850155202097,1.9874206711744336
2015-06-30,236.96,11969.4,0.679633794368506,0.867341602119609
2015-09-30,237.855,12099.233333333332,0.37698937901513574,1.0788696713484924
2015-12-31,237.837,12290.766666666668,-0.00756792210445667,1.5706213258383173
2016-03-31,237.68933333333334,12571.066666666666,-0.06210662209937823,2.25495741575763
2016-06-30,239.59033333333332,12772.800000000001,0.7966021540333657,1.5920032779670024
2016-09-30,240.60733333333334,12965.933333333334,0.42357620253197226,1.5007495177661312
2016-12-31,242.13466666666667,13171.533333333333,0.6327762778487234,1.573253011233433
2017-03-31,243.83866666666665,13365.566666666666,0.7012759205097474,1.4623812794322788
2017-06-30,244.12,13526.633333333333,0.11531032594547241,1.1978833464695526
2017-09-30,245.287,13671.0,0.4769045852770937,1.0616219491444312
2017-12-31,247.23833333333334,13823.666666666666,0.7923830151004729,1.1105298166809163
2018-03-31,249.3216666666667,13926.166666666666,0.8391113087693469,0.7387465353520639
2018-06-30,250.679,14051.133333333333,0.5429339431240798,0.8933492350568173
2018-09-30,251.68633333333332,14189.133333333333,0.4010367024059214,0.9773356610962125
2018-12-31,252.711,14294.933333333334,0.406294010101238,0.7428748696382215
2019-03-31,253.38566666666665,14484.5,0.26661589010670284,1.3173950030060055
2019-06-30,255.24733333333333,14659.433333333334,0.732030749114454,1.200492961965871
2019-09-30,256.08933333333334,14939.866666666667,0.3293332224809653,1.8949213299793044
2019-12-31,257.888,15264.066666666666,0.6999040201002948,2.1468227193905065
2020-03-31,258.81766666666664,15625.866666666667,0.3598441936334851,2.3426178479398985
2020-06-30,256.292,17666.766666666666,-0.9806404617330067,12.275762449443661
2020-09-30,259.22166666666664,18419.63333333333,1.13661320584999,4.173183948430115
2020-12-31,261.0916666666667,18954.533333333333,0.718800742438841,2.8626004222219947
2021-03-31,263.6863333333333,19593.266666666666,0.988870650160667,3.3142840847139254
2021-06-30,268.5796666666667,20354.066666666666,1.8387314611516992,3.8094758324836775
2021-09-30,272.8863333333333,20806.100000000002,1.5907767008999762,2.1965484819180148
2021-12-31,278.71933333333334,21310.2,2.114995470844061,2.393961838859049
2022-03-31,284.8446666666666,21663.633333333335,2.173870067190009,1.6449140094994874
2022-06-30,291.651,21694.0,2.36138795146692,0.14007531914135285
2022-09-30,295.50766666666664,21589.63333333333,1.3136899274919678,-0.48224634067466354
2022-12-31,298.49833333333333,21333.966666666664,1.0069568108102445,-1.191277946038305
